Averages,,,,,,,,,,
,date,GLDAS,MOD500m,Terra_Cl,Ec,Ei,Es,MOD1km,WAPOR,
,1-Apr-17,3.086,4.026,2.76,1.843,0.135,0.5,,29.239,3.511
,1-May-17,2.354,2.941,2.032,1.628,0.066,0.538,,28.824,2.527
,1-Jun-17,1.451,1.915,1.353,1.363,0.011,0.185,,24.46,1.597
,1-Jul-17,0.829,1.335,0.952,1.149,0.006,0.054,,21.835,1.237
,1-Aug-17,0.38,0.966,0.62,1.103,0.002,0.011,,20.133,1.011
,1-Sep-17,0.205,0.601,0.445,1.211,0,0.008,,15.702,1.012
,1-Oct-17,0.479,0.582,0.686,1.353,0.02,0.173,,17.126,1.015
,1-Nov-17,1.897,1.55,3.535,1.769,0.109,0.878,,24.006,1.87
,1-Dec-17,3.715,2.852,3.817,2.297,0.235,1.016,,32.267,3.353
,1-Jan-18,4.362,3.895,4.094,2.659,0.266,0.714,,39.739,3.782
,1-Feb-18,4.473,4.117,3.575,2.663,0.345,0.638,,35.198,3.751
,1-Mar-18,4.325,4.477,3.886,2.56,0.326,0.558,,34.421,3.764
,1-Apr-18,3.385,3.667,2.857,2.198,0.165,0.578,,32.261,3.402
,1-May-18,2.349,2.586,2.363,1.656,0.066,0.555,,27.462,2.17
,1-Jun-18,1.359,1.538,1.677,1.252,0.003,0.116,,22.596,1.443
,1-Jul-18,0.703,1.187,1.115,0.875,0.015,0.075,,16.538,0.903
,1-Aug-18,0.394,0.816,0.784,1.118,0,0.046,,19.998,1.189
,1-Sep-18,0.209,0.583,0.502,1.193,0.002,0.013,,16.196,1
,1-Oct-18,0.455,0.681,0.846,1.304,0.016,0.149,,17.212,0.902
,1-Nov-18,1.536,1.136,2.854,1.54,0.077,0.873,,21.857,1.4
,1-Dec-18,3.732,2.186,3.657,1.762,0.205,1.52,,27.478,3.235
,1-Jan-19,4.315,3.747,3.462,2.168,0.253,1.046,,31.652,3.985
